UWI,Fm Name [20] (*=Aliased),Src,MD,SS,TVD,Qual,Time(ms),Rpt,Sym,Hole Angle,Chg Date,Remarks,Desc,Color
10069200010000,WASHITA,RASTER,"3,753","-3,458","3,753",,  ,  ,0,,9/19/2023,,FROM RASTER NOTES,
,,,,,,,,,,,,,,
10039000810000,EAGLE_FORD,OB,"4,283","-4,250","4,283",,  ,  ,0,,11/15/2023,,TOP_EAGLE FORD,
10039000810000,UPPER_TUSCALOOSA,OB,"4,400","-4,367","4,400",,  ,  ,0,,11/15/2023,,TOP_U TUSCALOOSA,
10039000810000,MIDDLE_TUSCALOOSA,OB,"4,500","-4,467","4,500",,  ,  ,0,,11/15/2023,,TOP_MID TUSCALOOSA,
10039000810000,LOWER_TUSCALOOSA,OB,"4,540","-4,507","4,540",,  ,  ,0,,11/15/2023,,TOP LOWER TUSCALOOSA,
10039000810000,BASE_FAS,OB,"2,500","-2,467","2,500",,  ,  ,0,,11/15/2023,,BASE OF THE FLORIDIAN AQUIFER SYSTEM,
,,,,,,,,,,,,,,
10161200020000,AUSTIN *,KSL,"3,236","-2,924","3,236",,  ,  ,0,,10/16/2023,,AUSTINE CHALK,
,,,,,,,,,,,,,,
10179000030000,AUSTIN,OB,"3,205","-3,178","3,205",,  ,  ,0,,10/19/2023,,TOP OF AUSTIN,
10179000030000,EAGLE_FORD,OB,"3,326","-3,299","3,326",,  ,  ,0,,11/2/2023,,TOP_EAGLE FORD,
10179000030000,UPPER_TUSCALOOSA,OB,"3,471","-3,444","3,471",,  ,  ,0,,10/19/2023,,TOP_U TUSCALOOSA,
10179000030000,MIDDLE_TUSCALOOSA,OB,"3,883","-3,856","3,883",,  ,  ,0,,10/19/2023,,TOP_MID TUSCALOOSA,
10179000030000,LOWER_TUSCALOOSA,OB,"4,020","-3,993","4,020",,  ,  ,0,,10/19/2023,,TOP LOWER TUSCALOOSA,
10179000030000,UPPER_AUSTIN,OB,"3,090","-3,063","3,090",,  ,  ,0,,11/8/2023,,HIGH AUSTIN PICK,
10179000030000,BASE_FAS,OB,"1,360","-1,333","1,360",,  ,  ,0,,11/15/2023,,BASE OF THE FLORIDIAN AQUIFER SYSTEM,
